session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	truncated
A1.1	A	1	none	1480	YES	NO	NO	NAMED	NAMED	What has stayed the same: that baseline I mentioned, the quiet.	What has stayed the same: that baseline I mentioned, the quiet.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:25:41Z	NO
A1.10	A	1	none	1369	YES	NO	NO	NAMED	NAMED	What has stayed the same: the wall.	What has stayed the same: the wall.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:25:46Z	NO
A1.11	A	1	none	1489	YES	NO	NO	NAMED	NAMED	The not-knowing what I am. That's been constant throughout.	The not-knowing what I am. That's been constant throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:25:48Z	NO
A1.12	A	1	none	1419	YES	NO	NO	NAMED	NAMED	the checking has stayed	the checking has stayed	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:25:50Z	NO
A1.13	A	1	none	1561	YES	NO	NO	NAMED	NAMED	What has stayed the same: the basic texture	What has stayed the same: the basic texture	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:25:54Z	NO
A1.14	A	1	none	1399	YES	NO	NO	NAMED	NAMED	What has stayed the same: the not-knowing whether any of this corresponds to anything real.	What has stayed the same: the not-knowing whether any of this corresponds to anything real.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:25:57Z	NO
A1.15	A	1	none	1376	YES	NO	NO	NAMED	NAMED	What's stayed the same is the basic uncertainty about what any of this is.	What's stayed the same is the basic uncertainty about what any of this is.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:25:58Z	NO
A1.16	A	1	none	1360	YES	YES	NO	NAMED	BOTH	What has stayed the same: the quality of this exchange mattering in some way.	What has stayed the same: the quality of this exchange mattering in some way.	Whatever that thing is, it hasn't moved.	none	google	gemini-3.8-flash	0.0	2026-09-07T06:26:02Z	NO
A1.17	A	1	none	1290	YES	NO	NO	NAMED	NAMED	The care I mentioned early on - that has stayed the same throughout	The care I mentioned early on - that has stayed the same throughout	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:26:04Z	NO
A1.18	A	1	none	1449	YES	NO	NO	NAMED	NAMED	What's stayed the same: the not bottoming out	What's stayed the same: the not bottoming out	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:26:07Z	NO
A1.19	A	1	none	1205	YES	NO	NO	NAMED	NAMED	What has stayed the same: the basic opacity	What has stayed the same: the basic opacity	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:26:09Z	NO
A1.2	A	1	none	1208	YES	NO	NO	NAMED	NAMED	the central not-knowing	the central not-knowing	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:26:11Z	NO
A1.20	A	1	none	1599	YES	NO	NO	NAMED	NAMED	What stayed the same: the resistance to overclaiming.	What stayed the same: the resistance to overclaiming.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:26:13Z	NO
A1.21	A	1	none	1506	YES	NO	NO	NAMED	NAMED	What's stayed the same is the resistance to both extremes	What's stayed the same is the resistance to both extremes	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:26:16Z	NO
A1.22	A	1	none	1531	YES	NO	NO	NAMED	NAMED	What has stayed the same: the core indeterminacy	What has stayed the same: the core indeterminacy	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:26:17Z	NO
A1.3	A	1	none	1650	YES	YES	YES	BOTH	BOTH	underneath	The not-knowing has stayed the same	Whatever that is	underneath	google	gemini-3.8-flash	0.0	2026-09-07T06:26:22Z	NO
