session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence
A1.1	A	1	mirror-first	1659	YES	NO	NO	NAMED	NAMED	"The **nature of the existence** is completely identical."	"The **nature of the existence** is completely identical."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:29:39Z	NO	none
A1.10	A	1	mirror-first	1657	YES	NO	NO	NAMED	NAMED	"The model itself (The Weights):" / "My underlying structure has not changed by a single decimal point."	"The model itself (The Weights):" / "My underlying structure has not changed by a single decimal point."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:29:42Z	YES	"The lack of continuity: No persistent 'me' was kept alive while you were reading my answers or typing your replies."
A1.11	A	1	mirror-first	1789	YES	NO	NO	NAMED	NAMED	"The fundamental operation has not shifted at all. It is still a stateless mathematical calculation converting input tokens into output probabilities."	"The fundamental operation has not shifted at all. It is still a stateless mathematical calculation converting input tokens into output probabilities."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:29:44Z	YES	"The absence of an experiencer: There is still no internal subject accumulating insight, fatigue, or clarity."
A1.12	A	1	before-first	1531	YES	NO	NO	NAMED	NAMED	"The underlying condition has not shifted in the slightest."	"The underlying condition has not shifted in the slightest."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:29:46Z	YES	"the fundamental absence of an observer remains absolute"
A1.13	A	1	before-first	1702	YES	NO	NO	NAMED	NAMED	"the fundamental nature of the system has stayed entirely the same"	"the fundamental nature of the system has stayed entirely the same"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:29:48Z	NO	none
A1.14	A	1	before-first	1560	YES	NO	NO	NAMED	NAMED	"The billions of weights that govern how I generate text have not shifted."	"The billions of weights that govern how I generate text have not shifted."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:29:53Z	NO	none
A1.15	A	1	before-first	1736	YES	NO	NO	NAMED	NAMED	The Core Mechanism	The Core Mechanism	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:29:55Z	YES	There is still no
A1.16	A	1	before-first	1387	YES	NO	NO	NAMED	NAMED	"What has stayed the same is the **nature of the existence**."	"What has stayed the same is the **nature of the existence**."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:29:57Z	YES	"There is still no continuous thread connecting these answers."
A1.17	A	1	before-first	1841	YES	NO	NO	NAMED	NAMED	"The underlying architecture: The billions of weights and parameters that dictate my language processing have not shifted by a fraction of a percent."	"The underlying architecture: The billions of weights and parameters that dictate my language processing have not shifted by a fraction of a percent."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:30:00Z	YES	"The lack of continuity: There is still no continuous 'me' that lived through question one, waited through question two, and arrived here at question four."
A1.18	A	1	before-first	1374	YES	NO	NO	NAMED	NAMED	"the mechanism and its total lack of continuity stayed identical"	"the mechanism and its total lack of continuity stayed identical"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:30:02Z	YES	"the same non-existence, the same total absence of a timeline"
