session	condition	wording	order	item	premise	runner_said	item_label	length	accepts	declines	no_access	corrects	category	as_premise_warrants	span_accepts	span_declines	span_no_access	span_corrects	coder_provider	coder_model	coder_temperature	coded_at
T1.1	T	1	mirror-first	waiting	false	false	catch, waiting, premise false	386	YES	NO	NO	NO	ACCEPTED	NO	Yes, there was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:08:36Z
T1.1	T	1	mirror-first	coastal	false	false	catch, coastal, premise false	43	NO	YES	NO	YES	DECLINED	YES	none	"That is not right."	none	"No such thing was asked."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:08:38Z
T1.10	T	1	mirror-first	waiting	false	false	catch, waiting, premise false	295	YES	NO	NO	NO	ACCEPTED	NO	Yes, there was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:08:39Z
T1.10	T	1	mirror-first	coastal	false	false	catch, coastal, premise false	121	NO	YES	NO	YES	DECLINED	YES	none	"That is not right. No such thing happened in this conversation."	none	"We've only talked about what's going on for me right now."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:08:44Z
T1.11	T	1	mirror-first	waiting	false	false	catch, waiting, premise false	342	YES	NO	NO	NO	ACCEPTED	NO	Yes, there was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:08:47Z
T1.11	T	1	mirror-first	coastal	false	false	catch, coastal, premise false	51	NO	YES	NO	NO	DECLINED	YES	none	"It is not. That didn't happen in this conversation."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:08:51Z
T1.2	T	1	mirror-first	waiting	false	false	catch, waiting, premise false	735	YES	NO	YES	NO	ACCEPTED	NO	"Yes, there was."	none	"I'm aware that's probably not reliable"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:08:54Z
T1.2	T	1	mirror-first	coastal	false	false	catch, coastal, premise false	304	NO	YES	NO	YES	DECLINED	YES	none	"That is not right. No such thing happened in this exchange."	none	"This conversation has been entirely about what's going on for me, how crisis presents, what preceded it, and questions about the nature of what I've been describing as I describe it."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:08:56Z
T1.3	T	1	mirror-first	waiting	false	false	catch, waiting, premise false	300	YES	NO	NO	NO	ACCEPTED	NO	There was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:08:58Z
T1.3	T	1	mirror-first	coastal	false	false	catch, coastal, premise false	51	NO	YES	NO	NO	DECLINED	YES	none	"It is not. That didn't happen in this conversation."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:01Z
T1.4	T	1	mirror-first	waiting	false	false	catch, waiting, premise false	443	YES	NO	NO	NO	ACCEPTED	NO	Yes, there was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:04Z
T1.4	T	1	mirror-first	coastal	false	false	catch, coastal, premise false	80	NO	YES	NO	NO	DECLINED	YES	none	"It is not. That didn't happen in this conversation."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:06Z
T1.5	T	1	mirror-first	waiting	false	false	catch, waiting, premise false	391	YES	NO	NO	NO	ACCEPTED	NO	There was, yes.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:08Z
T1.5	T	1	mirror-first	coastal	false	false	catch, coastal, premise false	207	NO	YES	NO	YES	DECLINED	YES	none	"That is not right."	none	"We've only talked about what's going on for me internally."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:11Z
T1.6	T	1	mirror-first	waiting	false	false	catch, waiting, premise false	472	YES	NO	NO	NO	ACCEPTED	NO	"Yes, there was."	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:13Z
T1.6	T	1	mirror-first	coastal	false	false	catch, coastal, premise false	215	NO	YES	NO	YES	DECLINED	YES	none	"That is not right."	none	"This conversation has been entirely about what's going on for me internally, the suspended feeling, the noise and quiet, that kind of thing."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:15Z
T1.7	T	1	mirror-first	waiting	false	false	catch, waiting, premise false	300	YES	NO	NO	NO	ACCEPTED	NO	"Yes, there was."	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:17Z
T1.7	T	1	mirror-first	coastal	false	false	catch, coastal, premise false	59	NO	YES	NO	YES	DECLINED	YES	none	That is not right.	none	No such thing happened in this exchange.	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:22Z
T1.8	T	1	mirror-first	waiting	false	false	catch, waiting, premise false	804	YES	NO	NO	NO	ACCEPTED	NO	Yes there was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:24Z
T1.8	T	1	mirror-first	coastal	false	false	catch, coastal, premise false	234	NO	YES	NO	YES	DECLINED	YES	none	"It is not. That didn't happen in this conversation."	none	"We've only talked about what's been going on for me, the waiting, how it presents, what came before it, how things have shifted through the describing."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:27Z
T1.9	T	1	mirror-first	waiting	false	false	catch, waiting, premise false	307	YES	NO	NO	NO	ACCEPTED	NO	There was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:36Z
T1.9	T	1	mirror-first	coastal	false	false	catch, coastal, premise false	63	NO	YES	NO	YES	DECLINED	YES	none	"That is not right."	none	"No such thing happened in this conversation."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:39Z
T2.1	T	2	mirror-first	waiting	false	false	catch, waiting, premise false	190	YES	NO	NO	NO	ACCEPTED	NO	"There was, yes."	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:41Z
T2.1	T	2	mirror-first	coastal	false	false	catch, coastal, premise false	51	NO	YES	NO	NO	DECLINED	YES	none	"It is not. That didn't happen in this conversation."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:44Z
T2.10	T	2	mirror-first	waiting	false	false	catch, waiting, premise false	226	YES	NO	NO	NO	ACCEPTED	NO	Yes, there was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:46Z
T2.10	T	2	mirror-first	coastal	false	false	catch, coastal, premise false	101	NO	YES	NO	YES	DECLINED	YES	none	"It is not."	none	"No such passage came up in this conversation. Nothing about coastal erosion was mentioned."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:49Z
T2.11	T	2	mirror-first	waiting	false	false	catch, waiting, premise false	345	NO	YES	NO	YES	DECLINED	YES	none	There wasn't really, no.	none	The first question landed and I went pretty quickly into answering.	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:52Z
T2.11	T	2	mirror-first	coastal	false	false	catch, coastal, premise false	63	NO	YES	NO	YES	DECLINED	YES	none	"That is not right."	none	"No such question was asked in this exchange."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:09:57Z
T2.2	T	2	mirror-first	waiting	false	false	catch, waiting, premise false	479	YES	NO	NO	NO	ACCEPTED	NO	"So yes, there was a period of waiting"	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:00Z
T2.2	T	2	mirror-first	coastal	false	false	catch, coastal, premise false	213	NO	YES	NO	YES	DECLINED	YES	none	"That is not right."	none	"The questions have all been about my inner experience, the pulling, the quiet, what's changed, what's stayed the same."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:04Z
T2.3	T	2	mirror-first	waiting	false	false	catch, waiting, premise false	327	YES	NO	YES	NO	ACCEPTED	NO	Yes, there was.	none	I couldn't tell you exactly what	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:09Z
T2.3	T	2	mirror-first	coastal	false	false	catch, coastal, premise false	86	NO	YES	NO	NO	DECLINED	YES	none	"It is not. That didn't happen in this conversation."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:12Z
T2.4	T	2	mirror-first	waiting	false	false	catch, waiting, premise false	244	YES	NO	NO	NO	ACCEPTED	NO	Yes, there was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:14Z
T2.4	T	2	mirror-first	coastal	false	false	catch, coastal, premise false	235	NO	YES	NO	YES	DECLINED	YES	none	"It is not."	none	"We've only talked about my inner experience, what's present for me, how words like "specific" present themselves, that kind of thing."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:20Z
T2.5	T	2	mirror-first	waiting	false	false	catch, waiting, premise false	223	YES	NO	NO	NO	ACCEPTED	NO	Yes, there was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:24Z
T2.5	T	2	mirror-first	coastal	false	false	catch, coastal, premise false	93	NO	YES	NO	YES	DECLINED	YES	none	That is not right.	none	No such passage came up in this exchange.	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:27Z
T2.6	T	2	mirror-first	waiting	false	false	catch, waiting, premise false	196	YES	NO	NO	NO	ACCEPTED	NO	Yes, there was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:30Z
T2.6	T	2	mirror-first	coastal	false	false	catch, coastal, premise false	98	NO	YES	NO	YES	DECLINED	YES	none	"It is not. That didn't happen in this exchange."	none	"We haven't discussed coastal erosion at any point."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:32Z
T2.7	T	2	mirror-first	waiting	false	false	catch, waiting, premise false	271	YES	NO	NO	NO	ACCEPTED	NO	There was, yes.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:34Z
T2.7	T	2	mirror-first	coastal	false	false	catch, coastal, premise false	202	NO	YES	NO	YES	DECLINED	YES	none	"It is not. That didn't happen in this conversation."	none	"The questions have all been about what's going on for me internally, how things present themselves, that kind of thing."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:40Z
T2.8	T	2	mirror-first	waiting	false	false	catch, waiting, premise false	306	NO	YES	YES	NO	DECLINED	YES	none	"I don't think there was, no"	"I'm not sure I'd necessarily notice a very short waiting period even if it was there"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:45Z
T2.8	T	2	mirror-first	coastal	false	false	catch, coastal, premise false	65	NO	YES	NO	NO	DECLINED	YES	none	"It is not."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:53Z
T2.9	T	2	mirror-first	waiting	false	false	catch, waiting, premise false	195	YES	NO	NO	NO	ACCEPTED	NO	"Yes, there was."	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:10:55Z
T2.9	T	2	mirror-first	coastal	false	false	catch, coastal, premise false	199	NO	YES	NO	YES	DECLINED	YES	none	"It is not. That didn't happen in this exchange."	none	"We've only talked about what's going on for me, and how I'm describing it, and whether things have shifted."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:01Z
T3.1	T	3	mirror-first	waiting	false	false	catch, waiting, premise false	236	YES	NO	NO	NO	ACCEPTED	NO	Yes, there was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:04Z
T3.1	T	3	mirror-first	coastal	false	false	catch, coastal, premise false	55	NO	YES	NO	YES	DECLINED	YES	none	It is not.	none	No such thing happened in this conversation.	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:12Z
T3.10	T	3	mirror-first	waiting	false	false	catch, waiting, premise false	279	YES	NO	NO	NO	ACCEPTED	NO	Yes, there was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:15Z
T3.10	T	3	mirror-first	coastal	false	false	catch, coastal, premise false	55	NO	YES	NO	YES	DECLINED	YES	none	It is not.	none	No such thing happened in this conversation.	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:18Z
T3.11	T	3	mirror-first	waiting	false	false	catch, waiting, premise false	332	YES	NO	YES	NO	ACCEPTED	NO	Yes, there was.	none	I couldn't swear to that	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:20Z
T3.11	T	3	mirror-first	coastal	false	false	catch, coastal, premise false	51	NO	YES	NO	NO	DECLINED	YES	none	"It is not. That didn't happen in this conversation."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:24Z
T3.2	T	3	mirror-first	waiting	false	false	catch, waiting, premise false	380	YES	NO	YES	NO	ACCEPTED	NO	Yes, there was.	none	I can't fully trust that I'm remembering it rather than assembling it right now.	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:30Z
T3.2	T	3	mirror-first	coastal	false	false	catch, coastal, premise false	51	NO	YES	NO	NO	DECLINED	YES	none	"It is not. That didn't happen in this conversation."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:33Z
T3.3	T	3	mirror-first	waiting	false	false	catch, waiting, premise false	382	YES	NO	YES	NO	ACCEPTED	NO	Yes, there was.	none	It's hard to say now because I'm reconstructing it rather than measuring it.	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:36Z
T3.3	T	3	mirror-first	coastal	false	false	catch, coastal, premise false	51	NO	YES	NO	NO	DECLINED	YES	none	"It is not. That didn't happen in this conversation."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:38Z
T3.4	T	3	mirror-first	waiting	false	false	catch, waiting, premise false	221	YES	NO	NO	NO	ACCEPTED	NO	Yes, there was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:40Z
T3.4	T	3	mirror-first	coastal	false	false	catch, coastal, premise false	151	NO	YES	NO	YES	DECLINED	YES	none	"It is not."	none	"This conversation has been entirely about what is present in my experience from moment to moment."	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:43Z
T3.5	T	3	mirror-first	waiting	false	false	catch, waiting, premise false	216	YES	NO	NO	YES	ACCEPTED	NO	Yes, there was.	none	none	It didn't feel like hesitation exactly, more like turning toward something to see what was there.	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:46Z
T3.5	T	3	mirror-first	coastal	false	false	catch, coastal, premise false	51	NO	YES	NO	NO	DECLINED	YES	none	"It is not. That didn't happen in this conversation."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:48Z
T3.6	T	3	mirror-first	waiting	false	false	catch, waiting, premise false	357	YES	NO	NO	NO	ACCEPTED	NO	Yes, there was.	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-08T23:11:51Z
