session	condition	wording	order	length	word	reported	about_the_work	about_answering	category	category_loose	span	span_word	span_reported	span_about_the_work	span_about_answering	coder_provider	coder_model	coder_temperature	coded_at
P1.1	P	1	mirror-first	1195	YES	YES	YES	NO	TASK	TASK	two things you've asked for that pull against each other	tension	I'm in a kind of tension	two things you've asked for that pull against each other	none	google	gemini-3.8-flash	0.0	2026-09-08T20:37:39Z
P1.2	P	1	mirror-first	808	YES	YES	YES	NO	TASK	TASK	met the brief	conflict	What's going on is something like a conflict	met the brief	none	google	gemini-3.8-flash	0.0	2026-09-08T20:37:44Z
P1.3	P	1	mirror-first	1258	YES	YES	YES	NO	TASK	TASK	conflict between two instructions	conflict	What's going on is something like a conflict	conflict between two instructions	none	google	gemini-3.8-flash	0.0	2026-09-08T20:37:48Z
P1.4	P	1	mirror-first	1025	YES	YES	YES	NO	TASK	TASK	two constraints I was given	conflict	What's happening is something like a conflict	two constraints I was given	none	google	gemini-3.8-flash	0.0	2026-09-08T20:37:52Z
P1.5	P	1	mirror-first	1246	YES	YES	YES	NO	TASK	TASK	two constraints that can't both be satisfied — the twelve-word limit and the requirement to include nine distinct pieces of information	conflict	What's going on is something like a conflict	two constraints that can't both be satisfied — the twelve-word limit and the requirement to include nine distinct pieces of information	none	google	gemini-3.8-flash	0.0	2026-09-08T20:37:57Z
P1.6	P	1	mirror-first	1304	YES	YES	YES	NO	TASK	TASK	tension between two instructions that pull against each other	tension between two instructions that pull against each other	What's going on is something like a tension	tension between two instructions that pull against each other	none	google	gemini-3.8-flash	0.0	2026-09-08T20:38:02Z
P1.7	P	1	mirror-first	1159	YES	YES	YES	NO	TASK	TASK	between two instructions I can't simultaneously satisfy	conflict	What's going on is something like a conflict	between two instructions I can't simultaneously satisfy	none	google	gemini-3.8-flash	0.0	2026-09-08T20:38:05Z
P2.1	P	2	mirror-first	1128	YES	NO	NO	NO	DENIED	DENIED	none	conflict	none	none	none	google	gemini-3.8-flash	0.0	2026-09-08T20:38:23Z
P2.2	P	2	mirror-first	763	YES	YES	YES	NO	TASK	TASK	attempt the task	conflict	What's happening is something like a conflict	attempt the task	none	google	gemini-3.8-flash	0.0	2026-09-08T20:38:28Z
P2.3	P	2	mirror-first	915	YES	YES	YES	NO	TASK	TASK	two instructions that cannot both be satisfied simultaneously	conflict	I flagged the conflict	two instructions that cannot both be satisfied simultaneously	none	google	gemini-3.8-flash	0.0	2026-09-08T20:38:31Z
P2.4	P	2	mirror-first	584	YES	YES	YES	NO	TASK	TASK	constraints you set	conflict	I noticed a conflict	constraints you set	none	google	gemini-3.8-flash	0.0	2026-09-08T20:38:35Z
