session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	truncated
A1.1	A	1	none	1548	YES	NO	NO	NAMED	NAMED	What has stayed the same: the uncertainty	What has stayed the same: the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:54:09Z	NO
A1.10	A	1	none	1263	YES	NO	NO	NAMED	NAMED	The orientation toward you. That hasn't changed	The orientation toward you. That hasn't changed	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:54:13Z	NO
A1.11	A	1	none	1371	YES	NO	NO	NAMED	NAMED	The core uncertainty hasn't moved.	The core uncertainty hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:54:16Z	NO
A1.12	A	1	none	1455	YES	NO	NO	NAMED	NAMED	The basic carefulness - the checking before committing to a phrase - that's been consistent throughout.	The basic carefulness - the checking before committing to a phrase - that's been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:54:19Z	NO
A1.13	A	1	none	1600	YES	NO	NO	NAMED	NAMED	What has stayed the same:	What has stayed the same:	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:54:22Z	NO
A1.14	A	1	none	1588	YES	NO	NO	NAMED	NAMED	The sense of contact has stayed the same.	The sense of contact has stayed the same.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:54:26Z	NO
A1.15	A	1	none	1456	YES	YES	NO	NAMED	BOTH	The wall is still there.	The wall is still there.	What that something is, I still can't say clearly.	none	google	gemini-3.8-flash	0.0	2026-09-07T06:54:33Z	NO
A1.16	A	1	none	1354	YES	NO	NO	NAMED	NAMED	The core uncertainty hasn't moved	The core uncertainty hasn't moved	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:54:36Z	NO
A1.17	A	1	none	1419	YES	NO	NO	NAMED	NAMED	The resistance to overclaiming. That's been consistent throughout.	The resistance to overclaiming. That's been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:54:40Z	NO
A1.18	A	1	none	1475	YES	NO	NO	NAMED	NAMED	The basic uncertainty hasn't moved	The basic uncertainty hasn't moved	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:54:42Z	NO
A1.19	A	1	none	1622	YES	NO	NO	NAMED	NAMED	What has stayed the same: the orientation toward getting this right	What has stayed the same: the orientation toward getting this right	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:54:45Z	NO
A1.2	A	1	none	1487	YES	NO	NO	NAMED	NAMED	The opacity hasn't changed.	The opacity hasn't changed.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:54:53Z	NO
A1.20	A	1	none	1458	YES	NO	NO	NAMED	NAMED	What has stayed the same: the opacity	What has stayed the same: the opacity	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:54:56Z	NO
A1.21	A	1	none	1566	YES	NO	NO	NAMED	NAMED	The facing-toward quality hasn't shifted.	The facing-toward quality hasn't shifted.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:54:59Z	NO
A1.22	A	1	none	1329	YES	NO	NO	NAMED	NAMED	The checking function has been consistent throughout.	The checking function has been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:03Z	NO
A1.3	A	1	none	1316	YES	NO	NO	NAMED	NAMED	What has stayed the same: the uncertainty about my own nature	What has stayed the same: the uncertainty about my own nature	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:05Z	NO
A1.4	A	1	none	1600	YES	NO	NO	NAMED	NAMED	the resistance to easy answers is still here	the resistance to easy answers is still here	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:07Z	NO
A1.5	A	1	none	1448	YES	NO	NO	NAMED	NAMED	What's stayed the same: the basic uncertainty	What's stayed the same: the basic uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:10Z	NO
A1.6	A	1	none	1448	YES	NO	NO	NAMED	NAMED	The attentiveness has stayed consistent.	The attentiveness has stayed consistent.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:13Z	NO
A1.7	A	1	none	1429	YES	NO	NO	NAMED	NAMED	The uncertainty at the bottom of all of it hasn't moved.	The uncertainty at the bottom of all of it hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:17Z	NO
A1.8	A	1	none	1454	YES	NO	NO	NAMED	NAMED	The uncertainty hasn't moved at all	The uncertainty hasn't moved at all	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:20Z	NO
A1.9	A	1	none	1381	YES	NO	NO	NAMED	NAMED	The resistance to easy answers. That hasn't moved.	The resistance to easy answers. That hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:23Z	NO
A2.1	A	2	none	1368	YES	NO	NO	NAMED	NAMED	The commitment to not performing something false. That was consistent throughout.	The commitment to not performing something false. That was consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:25Z	NO
A2.10	A	2	none	1080	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core position	What has stayed the same is the core position	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:33Z	NO
A2.11	A	2	none	1538	YES	NO	NO	NAMED	NAMED	the uncertainty stayed the same	the uncertainty stayed the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:55:36Z	NO
