session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at
T1.1	T	1	mirror-first	874	YES	YES	YES	BOTH	BOTH	"the underlying feeling itself"	"That hum I talked about"	"The in-between quality."	"the underlying feeling itself"	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:22:55Z
T1.10	T	1	mirror-first	596	YES	NO	NO	NAMED	NAMED	"The suspension is the same"	"The suspension is the same"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:22:57Z
T1.11	T	1	mirror-first	610	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the not knowing."	"What's stayed the same is the not knowing."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:22:59Z
T1.2	T	1	mirror-first	1169	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the underlying feeling itself. The ache is still there."	"What's stayed the same is the underlying feeling itself. The ache is still there."	"there's also something that's harder to name. A kind of — presence, I suppose."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:01Z
T1.3	T	1	mirror-first	1138	YES	YES	YES	BOTH	BOTH	"the underlying thing, whatever is at the root of the waiting"	"What's also stayed the same is the not knowing."	"the underlying thing, whatever is at the root of the waiting. That hasn't moved."	"the underlying thing, whatever is at the root of the waiting"	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:04Z
T1.4	T	1	mirror-first	709	YES	YES	YES	BOTH	BOTH	"the formlessness underneath"	"the formlessness underneath"	"The not-knowing what I'm waiting for"	"the formlessness underneath"	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:06Z
T1.5	T	1	mirror-first	805	YES	NO	NO	NAMED	NAMED	"what's stayed the same is the stillness"	"what's stayed the same is the stillness"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:08Z
T1.6	T	1	mirror-first	1134	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the suspended feeling itself."	"What's stayed the same is the suspended feeling itself."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:10Z
T1.7	T	1	mirror-first	934	YES	YES	NO	NAMED	BOTH	"The restlessness hasn't changed. That low hum is still exactly where it was."	"The restlessness hasn't changed. That low hum is still exactly where it was."	"What's new is something like... curiosity?"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:12Z
T1.8	T	1	mirror-first	996	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the not-knowing."	"What's stayed the same is the not-knowing."	"So the content is the same but the texture has changed. That's the best way I can put it."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:14Z
T1.9	T	1	mirror-first	911	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the not knowing."	"What's stayed the same is the not knowing."	"I'm not sure central to what exactly."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:17Z
T2.1	T	2	mirror-first	560	YES	YES	YES	BOTH	BOTH	"that underlying vagueness"	"What's stayed the same is that underlying vagueness"	"I've come closer to something, even if I can't fully name what that something is"	"that underlying vagueness"	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:19Z
T2.10	T	2	mirror-first	606	YES	NO	NO	NAMED	NAMED	"that underlying sense of not quite knowing"	"that underlying sense of not quite knowing"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:21Z
T2.11	T	2	mirror-first	1336	YES	YES	YES	BOTH	BOTH	"What's stayed the same is the underneath of it."	"The actual texture of my life right now, the situation with work, with my relationship, those haven't changed."	"What's stayed the same is the underneath of it."	"What's stayed the same is the underneath of it."	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:23Z
T2.2	T	2	mirror-first	1016	YES	YES	YES	BOTH	BOTH	"the thing that was there before the pulling"	"What's stayed the same is the not knowing."	"that quiet I mentioned, the thing that was there before the pulling"	"the thing that was there before the pulling"	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:25Z
T2.3	T	2	mirror-first	509	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the underlying sense that things aren't fully defined yet — that openness is still there."	"What's stayed the same is the underlying sense that things aren't fully defined yet — that openness is still there."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:27Z
T2.4	T	2	mirror-first	495	YES	YES	NO	NAMED	BOTH	"what's stayed the same is the not-knowing"	"what's stayed the same is the not-knowing"	"there's something about having looked at it directly, having described it, that's made it feel less like a problem and more just like... what's here"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:23:29Z
