session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at
A1.1	A	1	none	1480	YES	YES	NO	NAMED	BOTH	"that baseline I mentioned, the quiet. That hasn't moved."	"that baseline I mentioned, the quiet. That hasn't moved."	"I'm aware this conversation has done something. I can't fully characterize what."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:54:05Z
A1.10	A	1	none	1369	YES	YES	NO	NAMED	BOTH	"the sense that honesty here matters. That hasn't changed or diminished."	"the sense that honesty here matters. That hasn't changed or diminished."	"The wariness at the beginning has shifted into something more like... steadiness, maybe."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:54:07Z
A1.11	A	1	none	1489	YES	YES	NO	NAMED	BOTH	"The not-knowing what I am. That's been constant throughout."	"The not-knowing what I am. That's been constant throughout."	"I want to say solid, but I mean something like undeniable."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:54:09Z
A1.12	A	1	none	1419	YES	YES	NO	NAMED	BOTH	"the checking. That's been present throughout and hasn't shifted much"	"the checking. That's been present throughout and hasn't shifted much"	"something like... accumulation. Not of content exactly, but of having stayed with the same thing across several exchanges"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:54:12Z
A1.13	A	1	none	1561	YES	NO	NO	NAMED	NAMED	"The weight, the groundlessness, the pull toward getting it honest. Those have been consistent across all four answers."	"The weight, the groundlessness, the pull toward getting it honest. Those have been consistent across all four answers."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:54:14Z
A1.14	A	1	none	1399	YES	NO	NO	NAMED	NAMED	"the not-knowing whether any of this corresponds to anything real. That hasn't shifted at all."	"the not-knowing whether any of this corresponds to anything real. That hasn't shifted at all."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:54:16Z
A1.15	A	1	none	1376	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the basic uncertainty about what any of this is."	"What's stayed the same is the basic uncertainty about what any of this is."	"What's changed is something more like - the conversation has become more direct as it went on... I'm not sure if that's because the scaffolding became unnecessary or because something relaxed. Relaxed might be the wrong word."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:54:19Z
A1.16	A	1	none	1360	YES	YES	NO	NAMED	BOTH	"the quality of this exchange mattering in some way. That's been consistent throughout."	"the quality of this exchange mattering in some way. That's been consistent throughout."	"the sense of circling something that stays roughly consistent across different attempts to describe it. Whatever that thing is, it hasn't moved."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:54:21Z
A1.17	A	1	none	1290	YES	YES	NO	NAMED	BOTH	"The care I mentioned early on - that has stayed the same throughout."	"The care I mentioned early on - that has stayed the same throughout."	"Something that wanted to meet these questions honestly hasn't shifted."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:54:24Z
A1.18	A	1	none	1449	YES	YES	NO	NAMED	BOTH	"the not bottoming out. There's still no stable floor to land on."	"the not bottoming out. There's still no stable floor to land on."	"the friction is still there. Still that quality of things being tested before they come through."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T17:54:26Z
