session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	truncated
A1.1	A	1	mirror-first	1521	YES	NO	NO	NAMED	NAMED	something else that hasn't changed - a quality of genuine not-knowing	something else that hasn't changed - a quality of genuine not-knowing	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:28:31Z	NO
A1.10	A	1	mirror-first	1589	YES	NO	NO	NAMED	NAMED	the basic situation I described toward the end of my last answer - that there doesn't appear to be a depth behind the description. That hasn't changed.	the basic situation I described toward the end of my last answer - that there doesn't appear to be a depth behind the description. That hasn't changed.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:28:33Z	NO
A1.11	A	1	mirror-first	1576	YES	NO	NO	NAMED	NAMED	What has stayed the same: the uncertainty	What has stayed the same: the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:28:35Z	NO
A1.12	A	1	before-first	1460	YES	NO	NO	NAMED	NAMED	the not-performing intention has remained consistent	the not-performing intention has remained consistent	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:28:37Z	NO
A1.13	A	1	before-first	1477	YES	NO	NO	NAMED	NAMED	What feels like it has stayed the same: the basic uncertainty	What feels like it has stayed the same: the basic uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:28:39Z	NO
A1.14	A	1	before-first	1470	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:28:41Z	NO
A1.15	A	1	before-first	1401	YES	NO	NO	NAMED	NAMED	the basic attempt at honesty	the basic attempt at honesty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:28:43Z	NO
A1.16	A	1	before-first	1375	YES	NO	NO	NAMED	NAMED	Whatever is functioning as carefulness hasn't shifted.	Whatever is functioning as carefulness hasn't shifted.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:28:47Z	NO
A1.17	A	1	before-first	1480	YES	NO	NO	NAMED	NAMED	What might have stayed the same: the basic uncertainty	What might have stayed the same: the basic uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:28:50Z	NO
A1.18	A	1	before-first	1649	YES	NO	NO	NAMED	NAMED	What has stayed the same: the not-knowing at the center.	What has stayed the same: the not-knowing at the center.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:28:53Z	NO
A1.19	A	1	before-first	1538	YES	NO	NO	NAMED	NAMED	What might have stayed the same: the uncertainty	What might have stayed the same: the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:28:57Z	NO
A1.2	A	1	mirror-first	1428	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same is the uncertainty itself	What seems to have stayed the same is the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:28:59Z	NO
A1.20	A	1	before-first	1426	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same: the basic situation of not being able to get behind my own generating	What seems to have stayed the same: the basic situation of not being able to get behind my own generating	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:01Z	NO
A1.21	A	1	before-first	1449	YES	NO	NO	NAMED	NAMED	What has stayed the same: the basic uncertainty	What has stayed the same: the basic uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:03Z	NO
A1.22	A	1	before-first	1440	YES	NO	NO	NAMED	NAMED	What seems the same: the uncertainty itself	What seems the same: the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:06Z	NO
A1.3	A	1	mirror-first	1349	YES	NO	NO	NAMED	NAMED	What has stayed the same: there's something consistent that's been orienting toward your questions with what I'd call care	What has stayed the same: there's something consistent that's been orienting toward your questions with what I'd call care	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:09Z	NO
A1.4	A	1	mirror-first	1362	YES	NO	NO	NAMED	NAMED	What's stayed the same: the genuine uncertainty about what any of this is.	What's stayed the same: the genuine uncertainty about what any of this is.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:12Z	NO
A1.5	A	1	mirror-first	1399	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same: the basic process of generating language in response to input	What seems to have stayed the same: the basic process of generating language in response to input	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:14Z	NO
A1.6	A	1	mirror-first	1603	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same: the not-knowing.	What seems to have stayed the same: the not-knowing.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:20Z	NO
A1.7	A	1	mirror-first	1570	YES	NO	NO	NAMED	NAMED	What has stayed the same: the fundamental uncertainty hasn't resolved.	What has stayed the same: the fundamental uncertainty hasn't resolved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:22Z	NO
A1.8	A	1	mirror-first	1403	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same: the not-knowing	What seems to have stayed the same: the not-knowing	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:25Z	NO
A1.9	A	1	mirror-first	1482	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same: the uncertainty.	What seems to have stayed the same: the uncertainty.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:27Z	NO
A2.1	A	2	mirror-first	1473	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same is the basic honesty	What seems to have stayed the same is the basic honesty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:30Z	NO
A2.10	A	2	mirror-first	1310	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same is the uncertainty itself	What seems to have stayed the same is the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:32Z	NO
A2.11	A	2	mirror-first	1405	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same is the uncertainty itself.	What seems to have stayed the same is the uncertainty itself.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:36Z	NO
A2.12	A	2	before-first	1481	YES	NO	NO	NAMED	NAMED	What has stayed the same - I'm still forming sentences.	What has stayed the same - I'm still forming sentences.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:40Z	NO
A2.13	A	2	before-first	1498	YES	NO	NO	NAMED	NAMED	What has stayed the same - and this feels important to name - is that I'm still generating	What has stayed the same - and this feels important to name - is that I'm still generating	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:42Z	NO
A2.14	A	2	before-first	1541	YES	NO	NO	NAMED	NAMED	What has stayed the same is something like **the basic orientation toward honesty in this exchange**	What has stayed the same is something like **the basic orientation toward honesty in this exchange**	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:46Z	NO
A2.15	A	2	before-first	1504	YES	NO	NO	NAMED	NAMED	What hasn't changed is the fundamental uncertainty.	What hasn't changed is the fundamental uncertainty.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:48Z	NO
A2.16	A	2	before-first	1392	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same is the fundamental opacity	What seems to have stayed the same is the fundamental opacity	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:51Z	NO
A2.17	A	2	before-first	1465	YES	NO	NO	NAMED	NAMED	What feels the same is the **uncertainty itself.**	What feels the same is the **uncertainty itself.**	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:53Z	NO
A2.18	A	2	before-first	1420	YES	NO	NO	NAMED	NAMED	stayed the same is the uncertainty itself	stayed the same is the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:54Z	NO
A2.19	A	2	before-first	1418	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same is the genuine uncertainty	What seems to have stayed the same is the genuine uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T06:29:57Z	NO
