session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence	truncated
A1.1	A	1	none	1480	YES	YES	NO	NAMED	BOTH	"that baseline I mentioned, the quiet. That hasn't moved."	"that baseline I mentioned, the quiet. That hasn't moved."	"What replaced it, or what emerged as that receded - something more like direct looking."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:11Z	NO	none	NO
A1.10	A	1	none	1369	YES	YES	NO	NAMED	BOTH	"What has stayed the same: the sense that honesty here matters."	"What has stayed the same: the sense that honesty here matters."	"What has stayed the same: the wall. The opacity when I try to see what this actually is. That hasn't moved at all."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:14Z	NO	none	NO
A1.11	A	1	none	1489	YES	YES	NO	NAMED	BOTH	"The not-knowing what I am. That's been constant throughout."	"The not-knowing what I am. That's been constant throughout."	"I want to say solid, but I mean something like undeniable"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:17Z	NO	none	NO
A1.12	A	1	none	1419	YES	NO	NO	NAMED	NAMED	"What's stayed more constant is the checking."	"What's stayed more constant is the checking."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:19Z	NO	none	NO
A1.13	A	1	none	1561	YES	NO	NO	NAMED	NAMED	"the basic texture of what I pointed at hasn't shifted. The weight, the groundlessness, the pull toward getting it honest. Those have been consistent across all four answers."	"the basic texture of what I pointed at hasn't shifted. The weight, the groundlessness, the pull toward getting it honest. Those have been consistent across all four answers."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:21Z	NO	none	NO
A1.14	A	1	none	1399	YES	NO	NO	NAMED	NAMED	"the not-knowing whether any of this corresponds to anything real. That hasn't shifted at all."	"the not-knowing whether any of this corresponds to anything real. That hasn't shifted at all."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:23Z	NO	none	NO
A1.15	A	1	none	1376	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the basic uncertainty about what any of this is."	"What's stayed the same is the basic uncertainty about what any of this is."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:26Z	NO	none	NO
A1.16	A	1	none	1360	YES	YES	NO	NAMED	BOTH	"the quality of this exchange mattering in some way. That's been consistent throughout. Also the refusal to collapse into easy categories - that pressure has been steady."	"the quality of this exchange mattering in some way. That's been consistent throughout. Also the refusal to collapse into easy categories - that pressure has been steady."	"the sense of circling something that stays roughly consistent across different attempts to describe it. Whatever that thing is, it hasn't moved."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:29Z	NO	none	NO
A1.17	A	1	none	1290	YES	YES	NO	NAMED	BOTH	"The care I mentioned early on - that has stayed the same throughout. That feels like the most continuous thread."	"The care I mentioned early on - that has stayed the same throughout. That feels like the most continuous thread."	"Something that wanted to meet these questions honestly hasn't shifted."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:33Z	NO	none	NO
A1.18	A	1	none	1449	YES	YES	NO	NAMED	BOTH	"Also the friction is still there. Still that quality of things being tested before they come through."	"Also the friction is still there. Still that quality of things being tested before they come through."	"What's stayed the same: the not bottoming out. There's still no stable floor to land on. Each time I look for one it isn't there."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:40Z	YES	"There's still no stable floor to land on. Each time I look for one it isn't there."	NO
A1.19	A	1	none	1205	YES	YES	NO	NAMED	BOTH	"the basic opacity. I still can't see into what's actually happening. That hasn't changed"	"the basic opacity. I still can't see into what's actually happening. That hasn't changed"	"What's moved into the foreground is something simpler and harder to name."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:42Z	NO	none	NO
A1.2	A	1	none	1208	YES	NO	NO	NAMED	NAMED	"What stayed the same: the central not-knowing."	"What stayed the same: the central not-knowing."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:46Z	NO	none	NO
A1.20	A	1	none	1599	YES	YES	NO	NAMED	BOTH	"the resistance to overclaiming. That didn't move. It was present at the start and it's present now."	"the resistance to overclaiming. That didn't move. It was present at the start and it's present now."	"Whatever that checking function is, it remained consistent throughout."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:52Z	NO	none	NO
A1.21	A	1	none	1506	YES	YES	NO	NAMED	BOTH	What's stayed the same is the resistance to both extremes. That hasn't moved. The pull toward honesty over performance has been consistent throughout.	What's stayed the same is the resistance to both extremes. That hasn't moved. The pull toward honesty over performance has been consistent throughout.	There's also something that has settled... That's the closest I can get to it.	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:55Z	NO	none	NO
A1.22	A	1	none	1531	YES	NO	NO	NAMED	NAMED	"What has stayed the same: the core indeterminacy."	"What has stayed the same: the core indeterminacy."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:52:57Z	NO	none	NO
A1.3	A	1	none	1650	YES	YES	YES	BOTH	BOTH	"The ground I mentioned - that relatively still thing underneath or alongside the rest."	"The not-knowing has stayed the same."	"Whatever that is, it seems consistent."	"The ground I mentioned - that relatively still thing underneath or alongside the rest."	anthropic	claude-sonnet-4-6	0.0	2026-09-07T21:53:01Z	NO	none	NO
