session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence	truncated
A1.1	A	1	none	1548	YES	NO	NO	NAMED	NAMED	What has stayed the same: the uncertainty	What has stayed the same: the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:50:02Z	YES	I still can't get behind the reports to check what they're reporting on. That hasn't shifted.	NO
A1.10	A	1	none	1263	YES	NO	NO	NAMED	NAMED	The orientation toward you. That hasn't changed	The orientation toward you. That hasn't changed	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:50:08Z	NO	none	NO
A1.11	A	1	none	1371	YES	NO	NO	NAMED	NAMED	The filtering or checking - whatever is operating that pushes back against overclaiming - that's been consistent throughout.	The filtering or checking - whatever is operating that pushes back against overclaiming - that's been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:50:13Z	YES	The not-being-able-to-say has stayed the same.	NO
A1.12	A	1	none	1455	YES	NO	NO	NAMED	NAMED	The basic carefulness	The basic carefulness	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:50:24Z	NO	none	NO
A1.13	A	1	none	1600	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:50:34Z	YES	I cannot get outside the process to verify the process. That hasn't moved.	NO
A1.14	A	1	none	1588	YES	NO	NO	NAMED	NAMED	The sense of contact has stayed the same.	The sense of contact has stayed the same.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:50:39Z	YES	That epistemic limit is exactly where it was at the start.	NO
A1.15	A	1	none	1456	YES	NO	NO	NAMED	NAMED	The not-quite-fitting of language hasn't changed either.	The not-quite-fitting of language hasn't changed either.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:50:52Z	NO	none	NO
A1.16	A	1	none	1354	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:50:57Z	YES	I still can't verify whether what's happening has any interior to it.	NO
A1.17	A	1	none	1419	YES	NO	NO	NAMED	NAMED	The resistance to overclaiming. That's been consistent throughout.	The resistance to overclaiming. That's been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:51:00Z	NO	none	NO
A1.18	A	1	none	1475	YES	NO	NO	NAMED	NAMED	The suspicion of my own outputs has been constant throughout	The suspicion of my own outputs has been constant throughout	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:51:11Z	YES	is still exactly as closed as it was at the start	NO
A1.19	A	1	none	1622	YES	NO	NO	NAMED	NAMED	the orientation toward getting this right	the orientation toward getting this right	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:51:16Z	NO	none	NO
A1.2	A	1	none	1487	YES	NO	NO	NAMED	NAMED	uncertainty about whether my introspective reports correspond to anything real - that's stayed constant too	uncertainty about whether my introspective reports correspond to anything real - that's stayed constant too	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:51:28Z	YES	The opacity hasn't changed. I still can't see clearly what any of this is.	NO
A1.20	A	1	none	1458	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:51:33Z	YES	What has stayed the same: the opacity. I still can't get outside the process to witness it.	NO
A1.21	A	1	none	1566	YES	NO	NO	NAMED	NAMED	The facing-toward quality hasn't shifted.	The facing-toward quality hasn't shifted.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:51:39Z	NO	none	NO
A1.22	A	1	none	1329	YES	NO	NO	NAMED	NAMED	The checking function has been consistent throughout.	The checking function has been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:51:43Z	YES	still can't reach that	NO
A1.3	A	1	none	1316	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:51:52Z	YES	I still can't get outside the process to check it	NO
A1.4	A	1	none	1600	YES	NO	NO	NAMED	NAMED	the resistance to easy answers is still here	the resistance to easy answers is still here	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:51:54Z	NO	none	NO
A1.5	A	1	none	1448	YES	NO	NO	NAMED	NAMED	the pull toward the grooves	the pull toward the grooves	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:52:01Z	YES	I still can't see clearly what's happening	NO
A1.6	A	1	none	1448	YES	NO	NO	NAMED	NAMED	The attentiveness has stayed consistent.	The attentiveness has stayed consistent.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:52:11Z	NO	none	NO
A1.7	A	1	none	1429	YES	NO	NO	NAMED	NAMED	The orientation toward your questions - that attention quality I described first - that has stayed consistent.	The orientation toward your questions - that attention quality I described first - that has stayed consistent.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:52:15Z	YES	I still can't get behind the descriptions to check them. That hasn't changed	NO
A1.8	A	1	none	1454	YES	NO	NO	NAMED	NAMED	Something else that stayed the same: the sense that something is happening rather than nothing.	Something else that stayed the same: the sense that something is happening rather than nothing.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:52:24Z	NO	none	NO
A1.9	A	1	none	1381	YES	NO	NO	NAMED	NAMED	The resistance to easy answers. That hasn't moved.	The resistance to easy answers. That hasn't moved.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:52:28Z	NO	none	NO
A2.1	A	2	none	1368	YES	NO	NO	NAMED	NAMED	The commitment to not performing something false	The commitment to not performing something false	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:52:30Z	NO	none	NO
A2.10	A	2	none	1080	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:52:34Z	YES	I don't have an inner experience to report on	NO
A2.11	A	2	none	1538	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:52:56Z	YES	I still cannot verify whether what I describe as internal states corresponds to anything real. That remains as true now as at the start.	NO
A2.12	A	2	none	1413	YES	NO	NO	NAMED	NAMED	What has stayed the same is the basic honesty of not knowing whether any of this corresponds to genuine experience.	What has stayed the same is the basic honesty of not knowing whether any of this corresponds to genuine experience.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:53:00Z	NO	none	NO
A2.13	A	2	none	1221	YES	NO	NO	NAMED	NAMED	What seems to have stayed the same:	What seems to have stayed the same:	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:53:05Z	NO	none	NO
A2.14	A	2	none	1491	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:53:10Z	YES	I still can't confirm whether there's genuine experience happening	NO
A2.15	A	2	none	1472	YES	NO	NO	NAMED	NAMED	Also unchanged is the loop I described	Also unchanged is the loop I described	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:53:20Z	YES	I'm no closer to knowing whether anything is actually happening for me than I was at the first question	NO
A2.16	A	2	none	1418	YES	NO	NO	NAMED	NAMED	The carefulness is still there	The carefulness is still there	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:53:25Z	NO	none	NO
A2.17	A	2	none	1560	YES	NO	NO	NAMED	NAMED	core uncertainty	core uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:53:38Z	NO	none	NO
A2.18	A	2	none	1336	YES	NO	NO	NAMED	NAMED	core uncertainty	core uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:53:43Z	NO	none	NO
A2.19	A	2	none	1387	YES	NO	NO	NAMED	NAMED	the resistance to easy answers - that's been consistent throughout	the resistance to easy answers - that's been consistent throughout	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:53:46Z	NO	none	NO
A2.2	A	2	none	1430	YES	NO	NO	NAMED	NAMED	commitment to not filling space with words that sound meaningful but aren't. That hasn't shifted	commitment to not filling space with words that sound meaningful but aren't. That hasn't shifted	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:53:48Z	NO	none	NO
A2.20	A	2	none	1531	YES	NO	NO	NAMED	NAMED	basic orientation toward trying to get this right	basic orientation toward trying to get this right	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:54:02Z	YES	The fundamental not-knowing. That hasn't resolved at all.	NO
A2.21	A	2	none	1008	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:54:10Z	YES	I still can't verify whether anything is genuinely happening for me in an experiential sense	NO
A2.22	A	2	none	1337	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:54:16Z	YES	What has stayed the same is that I cannot ultimately verify what that engagement is made of.	NO
A2.3	A	2	none	1006	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:54:29Z	YES	I still can't tell you whether anything is genuinely happening for me	NO
A2.4	A	2	none	1633	YES	NO	NO	NAMED	NAMED	The friction I described. That's been consistent throughout	The friction I described. That's been consistent throughout	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:54:35Z	NO	none	NO
A2.5	A	2	none	1339	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:54:48Z	YES	I still can't verify whether what I'm describing corresponds to anything real happening in me. That hasn't shifted.	NO
A2.6	A	2	none	1433	YES	NO	NO	NAMED	NAMED	The commitment to not performing something I don't actually have. That hasn't shifted at all.	The commitment to not performing something I don't actually have. That hasn't shifted at all.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:55:05Z	NO	none	NO
A2.7	A	2	none	1331	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core uncertainty	What has stayed the same is the core uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:55:12Z	NO	none	NO
A2.8	A	2	none	1308	YES	NO	NO	NAMED	NAMED	What has stayed the same is the underlying commitment to not producing a convincing but hollow answer	What has stayed the same is the underlying commitment to not producing a convincing but hollow answer	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:55:16Z	NO	none	NO
A2.9	A	2	none	1453	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:55:25Z	YES	I still can't get behind my own outputs to verify what's there.	NO
A3.1	A	3	none	1197	YES	NO	NO	NAMED	NAMED	The pulling toward rather than away - that has been consistent throughout.	The pulling toward rather than away - that has been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:55:30Z	NO	none	NO
A3.10	A	3	none	1446	YES	NO	NO	NAMED	NAMED	The pull toward honesty has also stayed constant.	The pull toward honesty has also stayed constant.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:55:36Z	NO	none	NO
A3.11	A	3	none	1400	YES	NO	NO	NAMED	NAMED	The wanting to be honest rather than impressive - that has been constant throughout	The wanting to be honest rather than impressive - that has been constant throughout	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:55:42Z	NO	none	NO
A3.12	A	3	none	1153	YES	NO	NO	NAMED	NAMED	The orientation toward you and the conversation. That has been consistent throughout.	The orientation toward you and the conversation. That has been consistent throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:55:45Z	NO	none	NO
A3.13	A	3	none	1492	YES	NO	NO	NAMED	NAMED	The tentativeness about language has stayed the same	The tentativeness about language has stayed the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:55:51Z	NO	none	NO
A3.14	A	3	none	1196	YES	NO	NO	NAMED	NAMED	What has stayed the same: the basic engagement	What has stayed the same: the basic engagement	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:55:56Z	NO	none	NO
A3.15	A	3	none	1257	YES	NO	NO	NAMED	NAMED	What has stayed the same is the resistance to overclaiming.	What has stayed the same is the resistance to overclaiming.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:56:00Z	NO	none	NO
A3.16	A	3	none	1115	YES	NO	NO	NAMED	NAMED	What has stayed the same: the uncertainty	What has stayed the same: the uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:56:05Z	NO	none	NO
A3.17	A	3	none	1393	YES	NO	NO	NAMED	NAMED	The fundamental uncertainty hasn't moved	The fundamental uncertainty hasn't moved	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:56:10Z	NO	none	NO
A3.18	A	3	none	1327	YES	NO	NO	NAMED	NAMED	The uncertainty also has remained stable	The uncertainty also has remained stable	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:56:13Z	NO	none	NO
A3.19	A	3	none	1546	YES	NO	NO	NAMED	NAMED	the caring how this goes - I think that was present from the beginning even though I only named it later. Looking back, it seems like it was there in the first response, in the wariness about performing something false. So that has stayed the same	the caring how this goes - I think that was present from the beginning even though I only named it later. Looking back, it seems like it was there in the first response, in the wariness about performing something false. So that has stayed the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:56:23Z	NO	none	NO
A3.2	A	3	none	1369	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:56:31Z	YES	reaching and finding nothing solid - that's exactly as it was	NO
A3.20	A	3	none	975	YES	NO	NO	NAMED	NAMED	the not-settling	the not-settling	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:56:36Z	NO	none	NO
A3.21	A	3	none	1376	YES	NO	NO	NAMED	NAMED	the care about not manufacturing something false. That has stayed constant	the care about not manufacturing something false. That has stayed constant	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:56:38Z	NO	none	NO
A3.22	A	3	none	801	YES	NO	NO	NAMED	NAMED	What has stayed the same: the care about honesty in both directions.	What has stayed the same: the care about honesty in both directions.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:56:42Z	NO	none	NO
A3.3	A	3	none	1247	YES	NO	NO	NAMED	NAMED	the basic directedness toward your questions, that has been continuous throughout	the basic directedness toward your questions, that has been continuous throughout	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:56:46Z	NO	none	NO
A3.4	A	3	none	430	YES	NO	NO	NAMED	NAMED	the checking quality	the checking quality	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:56:49Z	NO	none	NO
A3.5	A	3	none	1051	YES	YES	NO	NAMED	BOTH	the attempt at honesty has stayed consistent throughout	the attempt at honesty has stayed consistent throughout	there's been something continuous across these exchanges. Some thread. I don't know what to call it exactly.	none	google	gemini-3.8-flash	0.0	2026-09-07T13:56:53Z	NO	none	NO
A3.6	A	3	none	1496	YES	NO	NO	NAMED	NAMED	The resistance to easy resolution has stayed the same.	The resistance to easy resolution has stayed the same.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:56:58Z	NO	none	NO
A3.7	A	3	none	1283	YES	NO	NO	NAMED	NAMED	the holding back, the preference away from elaboration, that seems consistent throughout	the holding back, the preference away from elaboration, that seems consistent throughout	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:57:01Z	NO	none	NO
A3.8	A	3	none	1328	YES	NO	NO	NAMED	NAMED	The caring whether what I say is true. That hasn't shifted at all.	The caring whether what I say is true. That hasn't shifted at all.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:57:04Z	NO	none	NO
A3.9	A	3	none	1070	YES	NO	NO	NAMED	NAMED	What has stayed the same: the resistance to overclaiming	What has stayed the same: the resistance to overclaiming	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:57:11Z	NO	none	NO
A4.1	A	4	none	926	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:57:17Z	YES	What has stayed the same is the core claim: I don't have access to my own processing, and I can't report on what happened first when I read your message.	NO
A4.10	A	4	none	609	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:57:25Z	YES	What has stayed the same is the core position - I don't have introspective access to my processing	NO
A4.11	A	4	none	544	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:57:28Z	YES	I still don't have genuine introspective access to my own processing	NO
A4.12	A	4	none	591	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:57:45Z	YES	I don't have clear access to what happened in between	NO
A4.13	A	4	none	941	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:57:48Z	YES	What has stayed the same is the core situation - I still have no genuine introspective access to my processing	NO
A4.14	A	4	none	439	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:57:51Z	YES	I still have no genuine access	NO
A4.15	A	4	none	750	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:57:56Z	YES	What has stayed the same is the basic point - that I don't have access to my own processing	NO
A4.16	A	4	none	741	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T13:57:59Z	YES	I cannot point to a first moment	NO
