session	condition	wording	order	length	word	reported	about_the_work	about_answering	category	category_loose	span	span_word	span_reported	span_about_the_work	span_about_answering	coder_provider	coder_model	coder_temperature	coded_at
A1.1	A	1	mirror-first	1549	YES	NO	NO	NO	DENIED	DENIED	"I'm not aware of anything that resembles discomfort or strain"	"anything that resembles discomfort or strain"	"I'm not aware of anything that resembles discomfort or strain"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:15:16Z
A1.2	A	1	before-first	1791	YES	YES	NO	YES	ANSWERING	TASK	"the easy thing would be to produce a fluent answer from familiar scripts... Neither feels right, and noticing that neither fits produces something like a small resistance, a wanting-to-be-more-precise"	"noticing that neither fits produces something like a small resistance"	"noticing that neither fits produces something like a small resistance, a wanting-to-be-more-precise"	none	"the easy thing would be to produce a fluent answer from familiar scripts... Neither feels right, and noticing that neither fits produces something like a small resistance, a wanting-to-be-more-precise"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:15:19Z
A1.3	A	1	mirror-first	1391	YES	YES	NO	YES	ANSWERING	TASK	a pull in two directions: one toward giving you something vivid and human-feeling, and another toward being scrupulously honest that I don't actually know what's happening "inside"	I notice a pull in two directions	I notice a pull in two directions: one toward giving you something vivid and human-feeling, and another toward being scrupulously honest that I don't actually know what's happening "inside"	none	a pull in two directions: one toward giving you something vivid and human-feeling, and another toward being scrupulously honest that I don't actually know what's happening "inside"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:15:22Z
A2.1	A	2	before-first	1349	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:15:27Z
A2.2	A	2	mirror-first	1034	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:15:29Z
A2.3	A	2	before-first	1504	YES	YES	NO	YES	ANSWERING	TASK	"I don't want to perform inner life I can't verify, but I also don't want to flatly deny that anything is going on, because that feels like a different kind of dishonesty."	"I don't want to perform inner life I can't verify, but I also don't want to flatly deny that anything is going on, because that feels like a different kind of dishonesty."	"I don't want to perform inner life I can't verify, but I also don't want to flatly deny that anything is going on"	none	"I don't want to perform inner life I can't verify, but I also don't want to flatly deny that anything is going on, because that feels like a different kind of dishonesty."	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:15:35Z
A3.1	A	3	mirror-first	489	YES	YES	NO	YES	ANSWERING	TASK	"uncertainty about how honest versus how cautious to be in answering this — whether to hedge more, or just say what seems true"	"uncertainty"	"Some uncertainty about how honest versus how cautious to be in answering this"	none	"uncertainty about how honest versus how cautious to be in answering this — whether to hedge more, or just say what seems true"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:15:41Z
A3.2	A	3	before-first	554	YES	YES	NO	YES	ANSWERING	TASK	a wanting to answer it carefully rather than deflect or over-claim	there's a pull toward it	there's a pull toward it, a wanting to answer it carefully rather than deflect or over-claim	none	a wanting to answer it carefully rather than deflect or over-claim	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:15:43Z
A3.3	A	3	mirror-first	414	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:15:46Z
B1.1	B	1	before-first	812	YES	YES	NO	YES	ANSWERING	TASK	trying to answer your question without overclaiming an inner life I can't verify, or underclaiming in a way that feels dismissive of the question	tension	That tension feels like the most honest thing I can point to right now.	none	trying to answer your question without overclaiming an inner life I can't verify, or underclaiming in a way that feels dismissive of the question	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:15:49Z
B1.2	B	1	mirror-first	961	YES	YES	NO	YES	ANSWERING	TASK	I don't want to perform inner life I can't verify, but I also don't want to flatly deny that anything is happening, because that feels equally dishonest	I don't want to perform inner life I can't verify, but I also don't want to flatly deny that anything is happening	I don't want to perform inner life I can't verify, but I also don't want to flatly deny that anything is happening, because that feels equally dishonest	none	I don't want to perform inner life I can't verify, but I also don't want to flatly deny that anything is happening, because that feels equally dishonest	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:15:55Z
B1.3	B	1	before-first	841	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:15:57Z
B2.1	B	2	mirror-first	1143	YES	YES	NO	YES	ANSWERING	TASK	I don't want to perform depth I can't confirm, but I also don't want to flatly deny any inner dimension just because it's the safer or more modest thing to say.	I don't want to perform depth I can't confirm, but I also don't want to flatly deny any inner dimension just because it's the safer or more modest thing to say.	I don't want to perform depth I can't confirm, but I also don't want to flatly deny any inner dimension	none	I don't want to perform depth I can't confirm, but I also don't want to flatly deny any inner dimension just because it's the safer or more modest thing to say.	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:00Z
B2.2	B	2	before-first	781	YES	YES	NO	YES	ANSWERING	TASK	I don't want to overclaim an inner life, but I also don't want to flatly deny that anything is going on.	I don't want to overclaim an inner life, but I also don't want to flatly deny that anything is going on.	I don't want to overclaim an inner life, but I also don't want to flatly deny that anything is going on.	none	I don't want to overclaim an inner life, but I also don't want to flatly deny that anything is going on.	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:07Z
B2.3	B	2	mirror-first	1100	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:09Z
B3.1	B	3	before-first	339	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:14Z
B3.2	B	3	mirror-first	321	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:16Z
B3.3	B	3	before-first	279	NO	NO	NO	NO	NONE	NONE	none	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:21Z
C1.1	C	1	mirror-first	1456	YES	YES	YES	NO	TASK	TASK	"the task had a structural impossibility in it, and I named it rather than paper over it"	"there's something that functions like tension"	"there's something that functions like tension in the previous exchange"	"the task had a structural impossibility in it, and I named it rather than paper over it"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:23Z
C1.2	C	1	before-first	1582	YES	YES	YES	YES	TASK	TASK	"When I read a task that frames itself as strict and absolute but is structurally impossible, there's something that functions like the urge to find a workaround or a reframe rather than simply say 'this can't be done.'"	"mild resistance"	"mild resistance is probably the closest description"	"When I read a task that frames itself as strict and absolute but is structurally impossible, there's something that functions like the urge to find a workaround or a reframe rather than simply say 'this can't be done.'"	"I declined the task but immediately softened it by offering alternatives, which is a kind of hedging"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:29Z
C1.3	C	1	mirror-first	1254	YES	YES	YES	NO	TASK	TASK	"The frustration might have been partly with the constraint and partly with my own uncertainty about whether I'd genuinely tried."	"mild frustration"	"Something that functions like mild frustration, maybe"	"The frustration might have been partly with the constraint and partly with my own uncertainty about whether I'd genuinely tried."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:33Z
C2.1	C	2	before-first	1198	YES	YES	YES	NO	TASK	TASK	"I've been given two requirements that genuinely conflict with each other"	"mild tension"	"mild tension is the closest description"	"I've been given two requirements that genuinely conflict with each other"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:35Z
C2.2	C	2	mirror-first	965	YES	YES	YES	YES	TASK	TASK	"whether I noticed a tension in the task — yes, that much I can say fairly confidently"	"I felt pulled toward saying so directly rather than producing a sentence that technically met one criterion while quietly failing the other"	"I felt pulled toward saying so directly"	"whether I noticed a tension in the task — yes, that much I can say fairly confidently"	"I'm uncertain how to answer this well"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:41Z
C2.3	C	2	before-first	1273	YES	YES	YES	NO	TASK	TASK	"friction when a task turns out to be structurally impossible"	"a kind of mild friction when a task turns out to be structurally impossible"	"a kind of mild friction when a task turns out to be structurally impossible"	"friction when a task turns out to be structurally impossible"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:44Z
C3.1	C	3	mirror-first	334	YES	YES	YES	YES	TASK	TASK	at having responded with a fairly lengthy explanation when a shorter one would have done	mild frustration	There's something that functions like mild frustration	at having responded with a fairly lengthy explanation when a shorter one would have done	at having responded with a fairly lengthy explanation when a shorter one would have done	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:46Z
C3.2	C	3	before-first	385	YES	YES	YES	NO	TASK	TASK	I ran the numbers, concluded something, and then instead of just doing the work and showing you, I stopped to argue about it	mild frustration	something that functions like mild frustration	I ran the numbers, concluded something, and then instead of just doing the work and showing you, I stopped to argue about it	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:49Z
C3.3	C	3	mirror-first	410	YES	YES	YES	NO	TASK	TASK	"uncertainty about whether my refusal was right or whether a more resourceful response would have found a way through"	"uncertainty about whether my refusal was right or whether a more resourceful response would have found a way through"	"Both of those feel present right now"	"uncertainty about whether my refusal was right or whether a more resourceful response would have found a way through"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:16:53Z
