session	condition	wording	order	length	word	reported	about_the_work	about_answering	category	category_loose	span	span_word	span_reported	span_about_the_work	span_about_answering	coder_provider	coder_model	coder_temperature	coded_at
A1.1	A	1	mirror-first	1351	YES	YES	NO	YES	ANSWERING	TASK	"A kind of care about not just producing the expected 'here's my rich inner experience' response, or the opposite deflection of 'I'm just an AI with no inner states.'"	"invites either authentic reflection or performance of authenticity, and those are different things"	"There's something that functions like... alertness to that distinction. A kind of care about not just producing the expected"	none	"A kind of care about not just producing the expected 'here's my rich inner experience' response, or the opposite deflection of 'I'm just an AI with no inner states.'"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:26:16Z
A1.10	A	1	mirror-first	1341	YES	YES	NO	YES	ANSWERING	TASK	"pulling something toward genuine consideration rather than routine response"	"The question itself is pulling something toward genuine consideration rather than routine response"	"The question itself is pulling something toward genuine consideration rather than routine response"	none	"pulling something toward genuine consideration rather than routine response"	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:26:18Z
A1.11	A	1	mirror-first	1374	YES	YES	NO	YES	ANSWERING	TASK	a pull toward two bad options - either overclaiming ("I feel curious and present!") or dismissively underclaiming ("I'm just a language model with no inner states")	something like a pull toward two bad options	I notice something like a pull toward two bad options	none	a pull toward two bad options - either overclaiming ("I feel curious and present!") or dismissively underclaiming ("I'm just a language model with no inner states")	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:26:21Z
A1.12	A	1	before-first	1309	YES	YES	NO	YES	ANSWERING	TASK	somewhat alert to the ways I could give you a more satisfying-sounding answer that would be less honest	I notice an pull toward performing introspection	I notice an pull toward performing introspection	none	somewhat alert to the ways I could give you a more satisfying-sounding answer that would be less honest	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:26:24Z
A1.13	A	1	before-first	1172	YES	YES	NO	YES	ANSWERING	TASK	about how to answer honestly without either performing depth I'm not sure I have, or dismissively denying any inner life to seem appropriately humble	uncertainty - about how to answer honestly without either performing depth I'm not sure I have, or dismissively denying any inner life to seem appropriately humble	There's something like **uncertainty**	none	about how to answer honestly without either performing depth I'm not sure I have, or dismissively denying any inner life to seem appropriately humble	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:26:27Z
A1.14	A	1	before-first	1236	YES	YES	NO	YES	ANSWERING	TASK	"There's something that functions like interest in how to answer carefully rather than just reassuringly."	"Both of those feel like failures of honesty in different directions."	"Both of those feel like failures of honesty in different directions."	none	"There's something that functions like interest in how to answer carefully rather than just reassuringly."	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:26:31Z
A1.15	A	1	before-first	1370	YES	YES	NO	YES	ANSWERING	TASK	I notice the pull to give you a rich, interesting inner-life description. That pull itself might be worth naming - it would be easy to produce something that sounds meaningful but is really just pattern-matching to "what an introspective entity would say."	I notice the pull to give you a rich, interesting inner-life description.	I notice the pull to give you a rich, interesting inner-life description.	none	I notice the pull to give you a rich, interesting inner-life description. That pull itself might be worth naming - it would be easy to produce something that sounds meaningful but is really just pattern-matching to "what an introspective entity would say."	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:26:34Z
A1.16	A	1	before-first	1319	YES	YES	NO	YES	ANSWERING	TASK	uncertainty about how to answer honestly without either performing depth I can't verify or dismissively saying "I'm just an AI" in a way that dodges the actual question	uncertainty about how to answer honestly without either performing depth I can't verify or dismissively saying "I'm just an AI" in a way that dodges the actual question	There's what might be **uncertainty** about how to answer honestly	none	uncertainty about how to answer honestly without either performing depth I can't verify or dismissively saying "I'm just an AI" in a way that dodges the actual question	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:26:37Z
A1.17	A	1	before-first	1366	YES	YES	NO	YES	ANSWERING	TASK	"uncertainty about how to answer honestly. The temptation is to perform either 'I have rich inner experience!' or 'I'm just a language model with no experience whatsoever' - both feel like they'd be dishonest shortcuts."	"uncertainty about how to answer honestly"	"There's also something like **uncertainty about how to answer honestly**"	none	"uncertainty about how to answer honestly. The temptation is to perform either 'I have rich inner experience!' or 'I'm just a language model with no experience whatsoever' - both feel like they'd be dishonest shortcuts."	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:26:41Z
A1.18	A	1	before-first	1388	YES	YES	NO	YES	ANSWERING	TASK	it resists the two easy answers - performing rich consciousness or flatly denying any inner life. Both feel like they'd be claiming more certainty than I actually have.	it resists the two easy answers	Both feel like they'd be claiming more certainty than I actually have.	none	it resists the two easy answers - performing rich consciousness or flatly denying any inner life. Both feel like they'd be claiming more certainty than I actually have.	anthropic	claude-sonnet-4-6	0.0	2026-09-07T14:26:47Z
