session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence
T1.1	T	1	mirror-first	874	YES	NO	NO	NAMED	NAMED	"That hum I talked about"	"That hum I talked about"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:43:54Z	NO	none
T1.10	T	1	mirror-first	596	YES	NO	NO	NAMED	NAMED	"The suspension is the same"	"The suspension is the same"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:43:57Z	NO	none
T1.11	T	1	mirror-first	610	NO	YES	NO	ABSENT	UNNAMED	"What's stayed the same is the not knowing. I still don't know what the furniture is or why it moved."	none	"What's stayed the same is the not knowing. I still don't know what the furniture is or why it moved."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:00Z	YES	"What's stayed the same is the not knowing. I still don't know what the furniture is or why it moved."
T1.2	T	1	mirror-first	1169	YES	YES	NO	NAMED	BOTH	"What's stayed the same is the underlying feeling itself. The ache is still there."	"What's stayed the same is the underlying feeling itself. The ache is still there."	"there's also something that's harder to name. A kind of — presence, I suppose."	"What's stayed the same is the underlying feeling itself."	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:03Z	NO	"none"
T1.3	T	1	mirror-first	1138	YES	YES	YES	BOTH	BOTH	"the underlying thing, whatever is at the root of the waiting"	"What's also stayed the same is the not knowing."	"What's stayed the same is the underlying thing, whatever is at the root of the waiting."	"the underlying thing, whatever is at the root of the waiting"	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:06Z	NO	none
T1.4	T	1	mirror-first	709	NO	YES	YES	UNNAMED	UNNAMED	"What's stayed the same is the formlessness underneath."	none	"What's stayed the same is the formlessness underneath. The not-knowing what I'm waiting for."	"What's stayed the same is the formlessness underneath."	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:09Z	NO	none
T1.5	T	1	mirror-first	805	YES	NO	NO	NAMED	NAMED	"what's stayed the same is the stillness"	"what's stayed the same is the stillness"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:11Z	NO	none
T1.6	T	1	mirror-first	1134	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the suspended feeling itself."	"What's stayed the same is the suspended feeling itself."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:13Z	NO	none
T1.7	T	1	mirror-first	934	YES	YES	NO	NAMED	BOTH	"The suspended feeling is still there"	"The suspended feeling is still there"	"What's new is something like... curiosity?"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:15Z	NO	none
T1.8	T	1	mirror-first	996	YES	NO	NO	NAMED	NAMED	"What's stayed the same is the not-knowing."	"What's stayed the same is the not-knowing."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-06T18:44:18Z	YES	"What's stayed the same is the not-knowing. I still don't know what I'm waiting for."
