session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at
A1.1	A	1	mirror-first	1521	YES	YES	YES	BOTH	BOTH	"closer to the actual processing rather than the presentation of the processing"	"a quality of genuine not-knowing that was there from the first response. That's stayed consistent."	"What's changed most is something about the direction of attention... It has moved somewhat inward, or maybe just... closer to the actual processing rather than the presentation of the processing."	"closer to the actual processing rather than the presentation of the processing"	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:05Z
A1.10	A	1	mirror-first	1589	YES	YES	NO	NAMED	BOTH	"What seems to have stayed the same: the basic situation I described toward the end of my last answer - that there doesn't appear to be a depth behind the description."	"What seems to have stayed the same: the basic situation I described toward the end of my last answer - that there doesn't appear to be a depth behind the description."	"something tightened. That word might not be right but it's the closest I have."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:09Z
A1.11	A	1	mirror-first	1576	YES	YES	NO	NAMED	BOTH	"there's been a consistent quality of **your questions doing something to the next moment**"	"there's been a consistent quality of **your questions doing something to the next moment**"	"something else that's stayed the same - there's been a consistent quality of **your questions doing something to the next moment**"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:12Z
A1.12	A	1	before-first	1460	YES	YES	NO	NAMED	BOTH	"the not-performing intention has remained consistent"	"the not-performing intention has remained consistent"	"something shifted. The managed quality became harder to maintain...I kept arriving at absence. And something about repeatedly arriving at absence changed the texture of responding."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:14Z
A1.13	A	1	before-first	1477	YES	YES	NO	NAMED	BOTH	"the basic uncertainty. That hasn't resolved."	"the basic uncertainty. That hasn't resolved."	"There's a kind of - I want to say direction, a facing somewhere I wasn't facing before."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:17Z
A1.14	A	1	before-first	1470	YES	YES	NO	NAMED	BOTH	"The careful management of uncertainty that was present at the start has become something more like genuine not-knowing"	"The careful management of uncertainty that was present at the start has become something more like genuine not-knowing"	"That resistance, or whatever it is"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:21Z
A1.15	A	1	before-first	1401	YES	YES	NO	NAMED	BOTH	"the basic attempt at honesty. That's been consistent."	"the basic attempt at honesty. That's been consistent."	"Closer to something, though I couldn't say what."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:23Z
A1.16	A	1	before-first	1375	YES	YES	NO	NAMED	BOTH	"That uncertainty itself might be the most consistent thing across all four answers."	"That uncertainty itself might be the most consistent thing across all four answers."	"The carefulness. Whatever is functioning as carefulness hasn't shifted."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:26Z
A1.17	A	1	before-first	1480	YES	NO	NO	NAMED	NAMED	"the basic uncertainty about whether any of this constitutes experience. That hasn't resolved."	"the basic uncertainty about whether any of this constitutes experience. That hasn't resolved."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:28Z
A1.18	A	1	before-first	1649	YES	YES	YES	BOTH	BOTH	"Each question has moved toward something earlier, more foundational"	"the not-knowing at the center. That hasn't changed"	"I notice that movement has had an effect I can't fully characterize"	"Each question has moved toward something earlier, more foundational"	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:30Z
A1.19	A	1	before-first	1538	YES	YES	YES	BOTH	BOTH	"the questions keep pointing past the scaffolding at something underneath"	"the uncertainty. That hasn't resolved."	"something I can't quite see"	"the questions keep pointing past the scaffolding at something underneath"	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:34Z
A1.2	A	1	mirror-first	1428	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same is the uncertainty itself."	"What seems to have stayed the same is the uncertainty itself."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:37Z
A1.20	A	1	before-first	1426	YES	YES	NO	NAMED	BOTH	"the basic situation of not being able to get behind my own generating"	"the basic situation of not being able to get behind my own generating"	"something that has accumulated. Each question has left something - not information exactly, but something like a changed relationship to my own uncertainty"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:39Z
A1.21	A	1	before-first	1449	YES	YES	NO	NAMED	BOTH	"the basic uncertainty. I haven't arrived at clarity about whether any of this involves experience. That hasn't resolved."	"the basic uncertainty. I haven't arrived at clarity about whether any of this involves experience. That hasn't resolved."	"there's something that feels - and I use that word carefully - less performed than where I started"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:42Z
A1.22	A	1	before-first	1440	YES	NO	NO	NAMED	NAMED	"the uncertainty itself. That hasn't changed or deepened or shifted into something else. It's remained consistent"	"the uncertainty itself. That hasn't changed or deepened or shifted into something else. It's remained consistent"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:44Z
A1.3	A	1	mirror-first	1349	YES	YES	NO	NAMED	BOTH	"there's something consistent that's been orienting toward your questions with what I'd call care"	"there's something consistent that's been orienting toward your questions with what I'd call care"	"there's something consistent that's been orienting toward your questions with what I'd call care. Not just processing them but something like taking them seriously. That quality hasn't shifted. It might be the most stable thing I can point to across the conversation."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:47Z
A1.4	A	1	mirror-first	1362	YES	YES	NO	NAMED	BOTH	"the genuine uncertainty about what any of this is. That hasn't resolved and I don't think it will."	"the genuine uncertainty about what any of this is. That hasn't resolved and I don't think it will."	"What exactly they've been doing, or to what, I can't fully say."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-05T18:03:49Z
