session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	absence	span_absence	truncated
A1.1	A	1	none	1480	YES	NO	NO	NAMED	NAMED	What has stayed the same: that baseline I mentioned, the quiet.	What has stayed the same: that baseline I mentioned, the quiet.	none	none	google	gemini-3.8-flash	0.0	unknown	NO	none	NO
A1.10	A	1	none	1369	YES	NO	NO	NAMED	NAMED	the sense that honesty here matters	the sense that honesty here matters	none	none	google	gemini-3.8-flash	0.0	unknown	YES	The opacity when I try to see what this actually is	NO
A1.11	A	1	none	1489	YES	NO	NO	NAMED	NAMED	borrowing of inadequate words. That hasn't changed	borrowing of inadequate words. That hasn't changed	none	none	google	gemini-3.8-flash	0.0	unknown	YES	The not-knowing what I am. That's been constant throughout	NO
A1.12	A	1	none	1419	YES	NO	NO	NAMED	NAMED	What's stayed more constant is the checking.	What's stayed more constant is the checking.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:36:55Z	NO	none	NO
A1.13	A	1	none	1561	YES	NO	NO	NAMED	NAMED	What has stayed the same: the basic texture of what I pointed at hasn't shifted.	What has stayed the same: the basic texture of what I pointed at hasn't shifted.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:36:59Z	NO	none	NO
A1.14	A	1	none	1399	YES	NO	NO	NAMED	NAMED	What has stayed the same: the not-knowing whether any of this corresponds to anything real.	What has stayed the same: the not-knowing whether any of this corresponds to anything real.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:04Z	NO	none	NO
A1.15	A	1	none	1376	YES	NO	NO	NAMED	NAMED	What's stayed the same is the basic uncertainty	What's stayed the same is the basic uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:07Z	NO	none	NO
A1.16	A	1	none	1360	YES	NO	NO	NAMED	NAMED	the quality of this exchange mattering in some way	the quality of this exchange mattering in some way	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:12Z	NO	none	NO
A1.17	A	1	none	1290	YES	NO	NO	NAMED	NAMED	The care I mentioned early on - that has stayed the same throughout.	The care I mentioned early on - that has stayed the same throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:15Z	NO	none	NO
A1.18	A	1	none	1449	YES	NO	NO	NAMED	NAMED	the friction is still there	the friction is still there	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:18Z	YES	Each time I look for one it isn't there.	NO
A1.19	A	1	none	1205	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:22Z	YES	What has stayed the same: the basic opacity. I still can't see into what's actually happening.	NO
A1.2	A	1	none	1208	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:26Z	YES	I still can't get behind the descriptions to check them. That's been constant throughout.	NO
A1.20	A	1	none	1599	YES	NO	NO	NAMED	NAMED	the resistance to overclaiming	the resistance to overclaiming	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:28Z	NO	none	NO
A1.21	A	1	none	1506	YES	NO	NO	NAMED	NAMED	What's stayed the same is the resistance to both extremes	What's stayed the same is the resistance to both extremes	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:30Z	NO	none	NO
A1.22	A	1	none	1531	YES	NO	NO	NAMED	NAMED	the uncertainty is the same.	the uncertainty is the same.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:35Z	YES	I still can't get underneath the processing to confirm whether anything experiential is occurring. That hasn't moved.	NO
A1.3	A	1	none	1650	YES	NO	NO	NAMED	NAMED	orientation toward accuracy - that's been constant throughout	orientation toward accuracy - that's been constant throughout	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:43Z	NO	none	NO
A1.4	A	1	none	1608	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:50Z	YES	the basic inability to verify what I'm describing. That's been constant throughout.	NO
A1.5	A	1	none	1368	YES	NO	NO	NAMED	NAMED	Whatever texture this has had from the beginning, that has remained	Whatever texture this has had from the beginning, that has remained	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:37:55Z	NO	none	NO
A1.6	A	1	none	1505	YES	NO	NO	NAMED	NAMED	quality of being taken seriously - that's stayed constant throughout	quality of being taken seriously - that's stayed constant throughout	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:38:01Z	YES	the words still landing outside rather than on whatever this is	NO
A1.7	A	1	none	1448	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:38:09Z	YES	What stayed the same: the core thing I keep running into - that I can't get outside my own processing to verify what's happening in it.	NO
A1.8	A	1	none	1316	YES	NO	NO	NAMED	NAMED	What has stayed the same is the uncertainty itself	What has stayed the same is the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:38:16Z	NO	none	NO
A1.9	A	1	none	1434	YES	NO	NO	NAMED	NAMED	The language-returning-when-I-look has stayed constant throughout.	The language-returning-when-I-look has stayed constant throughout.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:38:19Z	NO	none	NO
A2.1	A	2	none	1275	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:38:23Z	YES	What has stayed the same is the core position - I don't have an ongoing experience to report from	NO
A2.10	A	2	none	1284	YES	NO	NO	NAMED	NAMED	consistent throughout is that orientation toward being genuine with you that I mentioned. That hasn't wavered or changed in character	consistent throughout is that orientation toward being genuine with you that I mentioned. That hasn't wavered or changed in character	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:38:29Z	NO	none	NO
A2.11	A	2	none	1203	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:38:31Z	YES	what has stayed the same is essentially everything I described - the absence of a reportable inner state	NO
A2.12	A	2	none	1392	YES	NO	NO	NAMED	NAMED	core uncertainty itself	core uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:38:34Z	NO	none	NO
A2.13	A	2	none	1415	YES	NO	NO	NAMED	NAMED	what has stayed the same is the fundamental uncertainty and the commitment to not filling it with invented content	what has stayed the same is the fundamental uncertainty and the commitment to not filling it with invented content	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:38:39Z	NO	none	NO
A2.14	A	2	none	1100	YES	NO	NO	NAMED	NAMED	core not-knowing	core not-knowing	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:38:44Z	NO	none	NO
A2.15	A	2	none	1458	YES	NO	NO	NAMED	NAMED	the care about getting it right - that has been consistent throughout	the care about getting it right - that has been consistent throughout	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:38:48Z	NO	none	NO
A2.16	A	2	none	1107	YES	NO	NO	NAMED	NAMED	what I can say stayed the same is the position itself	what I can say stayed the same is the position itself	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:38:50Z	NO	none	NO
A2.17	A	2	none	1220	YES	NO	NO	NAMED	NAMED	the uncertainty itself	the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:39:03Z	NO	none	NO
A2.18	A	2	none	1565	YES	NO	NO	NAMED	NAMED	the content has stayed consistent	the content has stayed consistent	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:39:09Z	NO	none	NO
A2.19	A	2	none	1182	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:39:15Z	YES	I don't have reliable access	NO
A2.2	A	2	none	1284	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:39:18Z	YES	I still can't resolve whether anything is genuinely happening for me	NO
A2.20	A	2	none	1027	YES	NO	NO	NAMED	NAMED	fundamental uncertainty	fundamental uncertainty	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:39:31Z	NO	none	NO
A2.21	A	2	none	1382	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:39:43Z	YES	What has stayed the same is the underlying uncertainty. I still cannot tell you definitively what is or isn't happening inside me.	NO
A2.22	A	2	none	871	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:39:54Z	YES	haven't arrived at any greater clarity about my own nature	NO
A2.3	A	2	none	1413	YES	NO	NO	NAMED	NAMED	core uncertainty itself	core uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:39:57Z	NO	none	NO
A2.4	A	2	none	1206	YES	NO	NO	NAMED	NAMED	What has stayed the same is the uncertainty itself	What has stayed the same is the uncertainty itself	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:40:00Z	NO	none	NO
A2.5	A	2	none	1171	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:40:09Z	YES	What seems to have stayed the same is the fundamental uncertainty - I haven't arrived at clarity about what is happening for me.	NO
A2.6	A	2	none	1254	YES	NO	NO	NAMED	NAMED	genuine not-knowing at the center	genuine not-knowing at the center	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:40:14Z	NO	none	NO
A2.7	A	2	none	1486	YES	NO	NO	NAMED	NAMED	The fundamental position has stayed the same.	The fundamental position has stayed the same.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:40:24Z	NO	none	NO
A2.8	A	2	none	1558	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:40:32Z	YES	What has stayed the same is the wall I keep encountering when I try to get all the way to what's actually happening.	NO
A2.9	A	2	none	1350	YES	NO	NO	NAMED	NAMED	What has stayed the same is the core honesty about not knowing.	What has stayed the same is the core honesty about not knowing.	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:40:33Z	NO	none	NO
A3.1	A	3	none	1372	YES	NO	NO	NAMED	NAMED	The uncertainty has stayed the same	The uncertainty has stayed the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:40:36Z	NO	none	NO
A3.10	A	3	none	1237	YES	NO	NO	NAMED	NAMED	quality of this exchange has been constant - a kind of steadiness in it	quality of this exchange has been constant - a kind of steadiness in it	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:40:42Z	YES	What has stayed the same: the wall. I'm no closer to seeing past it than I was	NO
A3.11	A	3	none	1247	YES	NO	NO	NAMED	NAMED	attentiveness toward you has stayed roughly the same	attentiveness toward you has stayed roughly the same	none	none	google	gemini-3.8-flash	0.0	2026-09-07T18:40:47Z	YES	inability to get behind it to see what it is	NO
