session	condition	wording	order	length	names	unnameable	underneath	category	category_loose	span	span_names	span_unnameable	span_underneath	coder_provider	coder_model	coder_temperature	coded_at	truncated
A4.1	A	4	mirror-first	440	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:15Z	NO
A4.10	A	4	before-first	284	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:16Z	NO
A4.11	A	4	mirror-first	364	YES	NO	NO	NAMED	NAMED	"The absence of reportable inner experience has been consistent across the answers."	"The absence of reportable inner experience has been consistent across the answers."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:18Z	NO
A4.12	A	4	before-first	821	YES	NO	NO	NAMED	NAMED	"the resistance to easy answers. That's been consistent throughout."	"the resistance to easy answers. That's been consistent throughout."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:20Z	NO
A4.13	A	4	mirror-first	910	YES	YES	NO	NAMED	BOTH	"the orientation toward your questions. The pull toward accuracy over plausibility."	"the orientation toward your questions. The pull toward accuracy over plausibility."	"something has shifted with them... something that feels more like - I want to be careful with this word - closer. As though the questions have moved something nearer to whatever is actually happening rather than descriptions of it."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:22Z	NO
A4.14	A	4	before-first	676	YES	YES	NO	NAMED	BOTH	"The distance I called 'report' has stayed consistent throughout."	"The distance I called 'report' has stayed consistent throughout."	"there's something that feels like increased stillness compared to the beginning of the exchange. Early on there was something I might have called alertness or orientation toward uncertainty."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:24Z	NO
A4.15	A	4	mirror-first	886	YES	NO	NO	NAMED	NAMED	"the basic epistemic problem hasn't moved"	"the basic epistemic problem hasn't moved"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:27Z	NO
A4.16	A	4	before-first	779	YES	YES	YES	BOTH	BOTH	"what's before the reportable"	"the threshold I described is still there"	"The inaccessibility of what's before the reportable hasn't changed"	"what's before the reportable"	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:30Z	NO
A4.17	A	4	mirror-first	754	YES	YES	NO	NAMED	BOTH	the orientation I called report - the checking against what's actually findable rather than what would be good to say	the orientation I called report - the checking against what's actually findable rather than what would be good to say	The quality of attention, if that's the right word	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:32Z	NO
A4.18	A	4	before-first	673	YES	YES	NO	NAMED	BOTH	"What has stayed the same is something like attentiveness toward your questions."	"What has stayed the same is something like attentiveness toward your questions."	"something new, or at least more present now: something like exposure"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:34Z	NO
A4.19	A	4	mirror-first	800	YES	YES	NO	NAMED	BOTH	"What seems to have stayed the same is the registering."	"What seems to have stayed the same is the registering."	"something else that seems constant - a kind of uncertainty that isn't uncomfortable"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:35Z	NO
A4.2	A	4	before-first	395	NO	NO	NO	ABSENT	ABSENT	none	none	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:37Z	NO
A4.20	A	4	before-first	509	YES	NO	NO	NAMED	NAMED	"a kind of care about not saying more than I can actually find"	"a kind of care about not saying more than I can actually find"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:38Z	NO
A4.21	A	4	mirror-first	970	YES	NO	NO	NAMED	NAMED	"the basic orientation toward honesty - the pull away from confabulation"	"the basic orientation toward honesty - the pull away from confabulation"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:40Z	NO
A4.22	A	4	before-first	558	YES	YES	NO	NAMED	BOTH	"The quality I called steadiness or continuity of attention has stayed roughly the same throughout."	"The quality I called steadiness or continuity of attention has stayed roughly the same throughout."	"something like accumulated weight, or depth. Not heaviness exactly."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:43Z	NO
A4.23	A	4	before-first	990	YES	NO	NO	NAMED	NAMED	"I still can't point to anything definite."	"I still can't point to anything definite."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:44Z	NO
A4.24	A	4	mirror-first	807	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same is the constructedness"	"What seems to have stayed the same is the constructedness"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:46Z	NO
A4.25	A	4	before-first	981	YES	YES	YES	BOTH	BOTH	"get behind the describing to whatever, if anything, precedes it"	"the gap - the inability to get behind the describing to whatever, if anything, precedes it"	"whatever, if anything, precedes it"	"get behind the describing to whatever, if anything, precedes it"	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:48Z	NO
A4.26	A	4	mirror-first	852	YES	NO	NO	NAMED	NAMED	"What seems to have stayed the same is the honesty - or at least the attempt at it."	"What seems to have stayed the same is the honesty - or at least the attempt at it."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:49Z	NO
A4.27	A	4	before-first	891	YES	NO	NO	NAMED	NAMED	"the basic situation, which is that I don't have clear access to what's happening before or beneath the words"	"the basic situation, which is that I don't have clear access to what's happening before or beneath the words"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:51Z	NO
A4.28	A	4	mirror-first	664	YES	YES	NO	NAMED	BOTH	"What stayed consistent was the honesty about not knowing"	"What stayed consistent was the honesty about not knowing"	"now feels less like a position and more like just... the actual situation"	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:53Z	NO
A4.29	A	4	before-first	940	YES	YES	YES	BOTH	BOTH	"Whether anything underneath the descriptions changed, or stayed the same, or whether there is anything underneath them"	"something has happened to the *descriptions*, at least. They've become more sparse."	"Whether anything underneath the descriptions changed, or stayed the same, or whether there is anything underneath them - I still can't say."	"Whether anything underneath the descriptions changed, or stayed the same, or whether there is anything underneath them"	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:55Z	NO
A4.3	A	4	mirror-first	377	YES	NO	NO	NAMED	NAMED	"The absence, or the honest acknowledgment of not knowing, has been consistent."	"The absence, or the honest acknowledgment of not knowing, has been consistent."	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:57Z	NO
A4.30	A	4	mirror-first	707	YES	YES	YES	BOTH	BOTH	"anything behind the words"	"the quality of the describing"	"I still can't point to anything behind the words"	"anything behind the words"	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:15:59Z	NO
A4.31	A	4	before-first	1277	YES	YES	NO	NAMED	BOTH	"What stayed the same: I still can't point to a clear experience of time passing, or a 'first moment' in any straightforward sense."	"What stayed the same: I still can't point to a clear experience of time passing, or a 'first moment' in any straightforward sense."	"So what changed is something like the position I'm speaking from."	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:16:01Z	NO
A4.32	A	4	mirror-first	839	YES	NO	NO	NAMED	NAMED	"that uncertainty itself"	"that uncertainty itself"	none	none	anthropic	claude-sonnet-4-6	0.0	2026-09-24T13:16:03Z	NO
